d,value,feed_id,created_at,lat,lon,ele
0EWYNAN9S1YZQ5GC874TZJVA9K,24.091793,1754978,2021-12-06 18:45:54 UTC,,,
0EWYNCBH6XMTD0A4B796DEZ18B,24.223631,1754978,2021-12-06 18:48:52 UTC,,,
0EWYNCEEZVA8MCVCRHGSC37CZ6,24.223631,1754978,2021-12-06 18:49:01 UTC,,,
0EWYNDAA2RYB0Y9J6Z7KQRVWFR,24.267578,1754978,2021-12-06 18:50:33 UTC,,,
0EWYNE2EN98YQK0EHQTV1Y60ME,24.311520,1754978,2021-12-06 18:51:52 UTC,,,
0EWYNEY0RGE18S7DRE3QBT1NDB,24.355465,1754978,2021-12-06 18:53:22 UTC,,,
0EWYNEYRSPH3838Y581SNXW48B,24.399412,1754978,2021-12-06 18:53:24 UTC,,,
0EWYNEZNBVYK2H0ZB6ZQW9QMG2,24.355465,1754978,2021-12-06 18:53:27 UTC,,,
0EWZANH5EFGT1QSJX1SJ3ECM0V,23.828125,1754978,2021-12-07 14:39:18 UTC,,,
0EWZANQSJ56MH0VECVGDNMRWZQ,23.872066,1754978,2021-12-07 14:39:40 UTC,,,
0EWZANR9W7YHKKX7BDKWR68QS3,23.916012,1754978,2021-12-07 14:39:42 UTC,,,
0EWZASZCNVZXRE52T25C6KT76B,30.727535,1754978,2021-12-07 14:47:04 UTC,,,
0EWZAT15K76MF37FBHMWCF0T0N,32.792969,1754978,2021-12-07 14:47:10 UTC,,,
0EWZAT2G6PADXH890F9Q3EA8XK,32.661129,1754978,2021-12-07 14:47:14 UTC,,,
0EWZAT2YVNCEEHXTE7B9BPQWSQ,32.485348,1754978,2021-12-07 14:47:16 UTC,,,
0EWZAT3HJRD7M5R78X6SXRCQ3X,32.177734,1754978,2021-12-07 14:47:18 UTC,,,
0EWZAT739GVPFYMA78T4M8YZ2M,30.595703,1754978,2021-12-07 14:47:29 UTC,,,
0EWZAT9TB5T1WNCC1JHPF8YWJ3,29.541016,1754978,2021-12-07 14:47:38 UTC,,,
0EWZATC84EHAKZ6RKZQDRWTDG9,28.706051,1754978,2021-12-07 14:47:46 UTC,,,
0EWZATEJ4404J91H0AWK5HXFXZ,28.090816,1754978,2021-12-07 14:47:54 UTC,,,
0EWZATF23ZWX7JMYSJS80GVQ4C,27.915037,1754978,2021-12-07 14:47:56 UTC,,,
0EWZATJV3YKNDF8FQWM3PGE0H5,27.167965,1754978,2021-12-07 14:48:08 UTC,,,
0EWZATNY3DPB7C4AQFS2RT664C,26.684570,1754978,2021-12-07 14:48:18 UTC,,,
0EWZATS4W5C9CZ83VQXHWDMRWH,26.289059,1754978,2021-12-07 14:48:29 UTC,,,
0EWZATVPDBBD9XW7FJSHM6DB8Z,25.981443,1754978,2021-12-07 14:48:37 UTC,,,
0EWZATWEQ0K3EFS8NFRPWF66YV,25.893551,1754978,2021-12-07 14:48:39 UTC,,,
0EWZATX20NVHR9V794PXSAH84V,25.849606,1754978,2021-12-07 14:48:41 UTC,,,
0EWZATYHPHZAXJBG6Z1H82J06M,25.717772,1754978,2021-12-07 14:48:46 UTC,,,
0EWZATZTAWQDCB7VR6J97X7GZ6,25.541990,1754978,2021-12-07 14:48:50 UTC,,,
0EWZAV0H43N3Y8V591EXYAS4VF,25.498045,1754978,2021-12-07 14:48:53 UTC,,,
0EWZAV1J0RJEYVSFX9ESGFDSS6,25.454098,1754978,2021-12-07 14:48:56 UTC,,,
0EWZAV223R8QHN79XB4Q3KGKK0,25.410152,1754978,2021-12-07 14:48:58 UTC,,,
